Rank,Family Name,Given Name,Nationality,Time,Date,Location,Event,Gender,Year,Distance
32,Ryzhova,Margarita,RUS,"1.59,16",2015-03-08,Kolomna,Russia Cup,f,2014,1500
33,Gunther,Kelly,USA,"1.59,23",2015-03-08,Salt Lake City (USA),American Cup Final / Champions Challenge,f,2014,1500
34,Kamminga,Manon,NED,"1.59,43",2014-10-12,Inzell (GER),International Season Opening,f,2014,1500
35,Hirschbichler,Gabriele,GER,"1.59,49",2015-02-15,Heerenveen (NED),World Single Distances Championships 2015,f,2014,1500
36,Schouten,Irene,NED,"1.59,57",2014-12-28,Heerenveen (NED),Netherlands - Allround Championships 2015,f,2014,1500
37,Lollobrigida,Francesca,ITA,"1.59,59",2015-03-08,Calgary (CAN),World Allround Championships 2015,f,2014,1500
38,van Hemert,Roxanne,NED,"1.59,62",2014-10-31,Heerenveen (NED),Netherlands - Single Distances Championships 2015,f,2014,1500
39,Morrison,Josie,CAN,"1.59,65",2014-10-23,Calgary (CAN),World Cup Trials,f,2014,1500
40,Ost,Isabell,GER,"1.59,77",2015-03-01,Inzell (GER),International German Open 2015,f,2014,1500
41,Dekker,Miranda,NED,"1.59,81",2014-12-28,Heerenveen (NED),Netherlands - Allround Championships 2015,f,2014,1500
42,Sakai,Nene,JPN,"1.59,82",2014-11-23,Calgary (CAN),ISU Junior World Cup,f,2014,1500
43,Kodaira,Nao,JPN,"1.59,92",2014-10-24,Nagano (JPN),Japan - Single Distances Championships 2015,f,2014,1500
44,Behlau,Leia,GER,"1.59,96",2015-03-08,Calgary (CAN),World Allround Championships 2015,f,2014,1500
45,Anema,Reina,NED,"2.00,00",2014-12-28,Heerenveen (NED),Netherlands - Allround Championships 2015,f,2014,1500
46,Schwartzburg,Paige,USA,"2.00,08",2015-03-08,Salt Lake City (USA),American Cup Final / Champions Challenge,f,2014,1500
47,Hao,Jiachen,CHN,"2.00,10",2015-03-08,Calgary (CAN),World Allround Championships 2015,f,2014,1500
48,Park,Ji-Woo,KOR,"2.00,11",2014-09-26,Calgary (CAN),Fall Classic,f,2014,1500
49,Tabata,Maki,JPN,"2.00,12",2014-12-21,Obihiro (JPN),Japan - Allround Championships 2015,f,2014,1500
50,van der Weijden,Annouk,NED,"2.00,14",2014-12-28,Heerenveen (NED),Netherlands - Allround Championships 2015,f,2014,1500
51,Aydova,Yekaterina,KAZ,"2.00,18",2014-10-26,Astana (KAZ),Kazakhstan - Single Distances Championships 2015,f,2014,1500
51,Noh,Seon-Yeong,KOR,"2.00,18",2015-02-15,Heerenveen (NED),World Single Distances Championships 2015,f,2014,1500
51,Hanly,Kate,CAN,"2.00,18",2015-03-22,Calgary (CAN),2015 Olympic Oval Finale / Canada Cup 4,f,2014,1500
54,Pflug,Bente,GER,"2.00,29",2015-03-01,Inzell (GER),International German Open 2015,f,2014,1500
55,Erbanová,Karolina,CZE,"2.00,31",2014-11-16,Obihiro (JPN),ISU World Cup,f,2014,1500
56,Liu,Jing,CHN,"2.00,35",2015-03-08,Calgary (CAN),World Allround Championships 2015,f,2014,1500
57,Garrido,Nicole,CAN,"2.00,46",2015-03-22,Calgary (CAN),2015 Olympic Oval Finale / Canada Cup 4,f,2014,1500
58,Li,Huawei,CHN,"2.00,61",2014-09-26,Calgary (CAN),Fall Classic,f,2014,1500
59,Huisman,Mariska,NED,"2.00,65",2014-10-12,Inzell (GER),International Season Opening,f,2014,1500
60,Zhan,Xue,CHN,"2.00,77",2014-09-26,Calgary (CAN),Fall Classic,f,2014,1500
61,Fatkulina,Olga,RUS,"2.00,81",2014-10-29,Moscow,Moscow Open Cup / World Cup Qualifier,f,2014,1500
62,Sun,Nan,CHN,"2.00,82",2014-09-26,Calgary (CAN),Fall Classic,f,2014,1500
63,Toi,Saori,JPN,"2.00,88",2014-10-24,Nagano (JPN),Japan - Single Distances Championships 2015,f,2014,1500
64,Fu,Chunyan,CHN,"2.00,89",2014-09-26,Calgary (CAN),Fall Classic,f,2014,1500
64,van der Molen,Jade,NED,"2.00,89",2014-12-28,Heerenveen (NED),Netherlands - Allround Championships 2015,f,2014,1500
66,Woźniak,Katarzyna,POL,"2.00,95",2014-12-14,Heerenveen (NED),ISU World Cup,f,2014,1500
67,Oshigiri,Misaki,JPN,"2.00,96",2014-10-24,Nagano (JPN),Japan - Single Distances Championships 2015,f,2014,1500
68,Weidemann,Isabelle,CAN,"2.00,99",2015-03-22,Calgary (CAN),2015 Olympic Oval Finale / Canada Cup 4,f,2014,1500
69,Um,Chae-Lin,KOR,"2.01,05",2014-09-26,Calgary (CAN),Fall Classic,f,2014,1500
70,Zueva,Marina,BLR,"2.01,09",2015-03-08,Calgary (CAN),World Allround Championships 2015,f,2014,1500
71,Dufter,Roxane,GER,"2.01,12",2015-03-01,Inzell (GER),International German Open 2015,f,2014,1500
72,Bøkko,Hege,NOR,"2.01,14",2014-12-14,Heerenveen (NED),ISU World Cup,f,2014,1500
73,Boer,Margot,NED,"2.01,34",2014-10-31,Heerenveen (NED),Netherlands - Single Distances Championships 2015,f,2014,1500
74,Uhrig,Michelle,GER,"2.01,38",2015-03-01,Inzell (GER),International German Open 2015,f,2014,1500
75,Wheler,Juliette,CAN,"2.01,41",2014-11-23,Calgary (CAN),ISU Junior World Cup,f,2014,1500
76,Fujimori,Miki,JPN,"2.01,43",2014-11-23,Calgary (CAN),ISU Junior World Cup,f,2014,1500
77,Matsuda,Yuki,JPN,"2.01,51",2014-12-21,Obihiro (JPN),Japan - Allround Championships 2015,f,2014,1500
78,Mikhailava,Tatsiana,BLR,"2.01,61",2015-02-15,Heerenveen (NED),World Single Distances Championships 2015,f,2014,1500
79,Golubeva,Elizaveta,KAZ,"2.01,64",2014-10-28,Kolomna,Junior Cup 1,f,2014,1500
80,Abe,Yuka,JPN,"2.01,76",2014-10-24,Nagano (JPN),Japan - Single Distances Championships 2015,f,2014,1500
80,van der Schaar,Sanne,NED,"2.01,76",2014-12-28,Heerenveen (NED),Netherlands - Allround Championships 2015,f,2014,1500
82,Nam,Jee-Eun,KOR,"2.01,79",2014-09-26,Calgary (CAN),Fall Classic,f,2014,1500
83,Bartlett,Erin,USA,"2.01,88",2015-03-08,Salt Lake City (USA),American Cup Final / Champions Challenge,f,2014,1500
84,Sato,Ayano,JPN,"2.01,89",2014-10-24,Nagano (JPN),Japan - Single Distances Championships 2015,f,2014,1500
85,Likhacheva,Galina,RUS,"2.01,99",2014-12-29,Kolomna,Russia - Allround Championships 2015,f,2014,1500
86,Lee,Sang-Hwa,KOR,"2.02,10",2014-09-26,Calgary (CAN),Fall Classic,f,2014,1500
87,Park,Cho-Won,KOR,"2.02,16",2014-09-26,Calgary (CAN),Fall Classic,f,2014,1500
88,van Elst,Isabelle,BEL,"2.02,17",2015-01-30,Heerenveen (NED),Vikingrace 2015,f,2014,1500
89,Fujimura,Shoko,JPN,"2.02,28",2014-12-21,Obihiro (JPN),Japan - Allround Championships 2015,f,2014,1500
90,Fiset,Noémie,CAN,"2.02,29",2015-03-22,Calgary (CAN),2015 Olympic Oval Finale / Canada Cup 4,f,2014,1500
91,McGuire,Lauren,CAN,"2.02,34",2014-10-23,Calgary (CAN),World Cup Trials,f,2014,1500
91,van Megen,Frida,NOR,"2.02,34",2015-03-08,Calgary (CAN),World Allround Championships 2015,f,2014,1500
93,Spence,Victoria,CAN,"2.02,39",2015-03-22,Calgary (CAN),2015 Olympic Oval Finale / Canada Cup 4,f,2014,1500
94,Park,Do-Young,KOR,"2.02,40",2014-09-26,Calgary (CAN),Fall Classic,f,2014,1500
95,Shabanova,Alla,RUS,"2.02,59",2014-12-29,Kolomna,Russia - Allround Championships 2015,f,2014,1500
96,Sokhryakova,Elena,RUS,"2.02,69",2015-01-11,Kolomna,Russia Cup 4,f,2014,1500
97,Peeters,Jelena,BEL,"2.02,80",2014-12-14,Heerenveen (NED),ISU World Cup,f,2014,1500
98,Kim,Ha-Eun,KOR,"2.02,83",2014-09-26,Calgary (CAN),Fall Classic,f,2014,1500
99,Lund,Camilla,NOR,"2.02,84",2015-03-22,Calgary (CAN),2015 Olympic Oval Finale / Canada Cup 4,f,2014,1500
100,Bay,Jennifer,GER,"2.02,85",2014-11-22,Berlin (GER),Überprüfungswettkampf,f,2014,1500
1,Sáblíková,Martina,CZE,"3.55,10",2015-03-07,Calgary (CAN),World Allround Championships 2015,f,2014,3000
2,Wüst,Ireen,NED,"4.00,34",2015-03-07,Calgary (CAN),World Allround Championships 2015,f,2014,3000
3,Achtereekte,Carlijn,NED,"4.00,80",2014-12-05,Berlin (GER),ISU World Cup,f,2014,3000
4,de Vries,Linda,NED,"4.02,41",2015-03-07,Calgary (CAN),World Allround Championships 2015,f,2014,3000
5,Joling,Marije,NED,"4.02,85",2015-03-07,Calgary (CAN),World Allround Championships 2015,f,2014,3000
6,Pechstein,Claudia,GER,"4.02,93",2015-03-07,Calgary (CAN),World Allround Championships 2015,f,2014,3000
7,Kleibeuker,Carien,NED,"4.03,79",2014-12-05,Berlin (GER),ISU World Cup,f,2014,3000
8,Blondin,Ivanie,CAN,"4.04,03",2015-03-07,Calgary (CAN),World Allround Championships 2015,f,2014,3000
9,Voronina,Natalia,RUS,"4.04,54",2015-03-07,Calgary (CAN),World Allround Championships 2015,f,2014,3000
10,Njåtun,Ida,NOR,"4.04,89",2015-03-07,Calgary (CAN),World Allround Championships 2015,f,2014,3000
11,Bergsma,Heather,USA,"4.05,00",2015-03-07,Calgary (CAN),World Allround Championships 2015,f,2014,3000
12,Nauta,Yvonne,NED,"4.05,11",2014-12-27,Heerenveen (NED),Netherlands - Allround Championships 2015,f,2014,3000
13,Valkenburg,Diane,NED,"4.05,30",2014-12-27,Heerenveen (NED),Netherlands - Allround Championships 2015,f,2014,3000
14,van der Weijden,Annouk,NED,"4.05,36",2014-12-27,Heerenveen (NED),Netherlands - Allround Championships 2015,f,2014,3000
15,Graf,Olga,RUS,"4.05,53",2014-12-05,Berlin (GER),ISU World Cup,f,2014,3000
16,Voorhuis,Jorien,NED,"4.05,76",2015-02-12,Heerenveen (NED),World Single Distances Championships 2015,f,2014,3000
17,Złotkowska,Luiza,POL,"4.06,79",2015-03-07,Calgary (CAN),World Allround Championships 2015,f,2014,3000
18,Christ,Kali,CAN,"4.06,99",2015-03-07,Calgary (CAN),World Allround Championships 2015,f,2014,3000
19,Rijpma-de Jong,Antoinette,NED,"4.07,11",2014-12-27,Heerenveen (NED),Netherlands - Allround Championships 2015,f,2014,3000
19,Takagi,Miho,JPN,"4.07,11",2015-03-07,Calgary (CAN),World Allround Championships 2015,f,2014,3000
21,Pflug,Bente,GER,"4.07,40",2015-02-28,Inzell (GER),International German Open 2015,f,2014,3000
22,Takagi,Nana,JPN,"4.07,60",2015-03-07,Calgary (CAN),World Allround Championships 2015,f,2014,3000
23,Sakai,Nene,JPN,"4.07,64",2014-11-22,Calgary (CAN),ISU Junior World Cup,f,2014,3000
24,Wijfje,Melissa,NED,"4.07,71",2014-12-27,Heerenveen (NED),Netherlands - Allround Championships 2015,f,2014,3000
25,Garrido,Nicole,CAN,"4.08,28",2015-03-20,Calgary (CAN),2015 Olympic Oval Finale / Canada Cup 4,f,2014,3000
26,Leenstra,Marrit,NED,"4.08,70",2014-12-27,Heerenveen (NED),Netherlands - Allround Championships 2015,f,2014,3000
27,Kikuchi,Ayaka,JPN,"4.08,88",2015-03-07,Calgary (CAN),World Allround Championships 2015,f,2014,3000
28,Skokova,Yuliya,RUS,"4.08,97",2014-12-28,Kolomna,Russia - Allround Championships 2015,f,2014,3000
29,van der Molen,Jade,NED,"4.09,20",2014-12-27,Heerenveen (NED),Netherlands - Allround Championships 2015,f,2014,3000
30,Lollobrigida,Francesca,ITA,"4.09,50",2015-03-07,Calgary (CAN),World Allround Championships 2015,f,2014,3000
31,Weidemann,Isabelle,CAN,"4.09,81",2015-03-20,Calgary (CAN),2015 Olympic Oval Finale / Canada Cup 4,f,2014,3000
32,Meijer,Rixt,NED,"4.09,92",2014-11-01,Heerenveen (NED),Netherlands - Single Distances Championships 2015,f,2014,3000
33,Kim,Bo-Reum,KOR,"4.10,00",2015-03-07,Calgary (CAN),World Allround Championships 2015,f,2014,3000
34,van der Geest,Lisa,NED,"4.11,02",2014-11-01,Heerenveen (NED),Netherlands - Single Distances Championships 2015,f,2014,3000
35,Woźniak,Katarzyna,POL,"4.11,11",2014-10-11,Inzell (GER),International Season Opening,f,2014,3000
36,McGuire,Lauren,CAN,"4.11,21",2015-03-20,Calgary (CAN),2015 Olympic Oval Finale / Canada Cup 4,f,2014,3000
37,van Megen,Frida,NOR,"4.11,28",2015-03-07,Calgary (CAN),World Allround Championships 2015,f,2014,3000
38,Schouten,Irene,NED,"4.11,55",2014-12-27,Heerenveen (NED),Netherlands - Allround Championships 2015,f,2014,3000
39,Chernova,Anna,RUS,"4.11,82",2015-02-12,Heerenveen (NED),World Single Distances Championships 2015,f,2014,3000
40,Anema,Reina,NED,"4.11,83",2014-12-27,Heerenveen (NED),Netherlands - Allround Championships 2015,f,2014,3000
41,Zhao,Xin,CHN,"4.11,92",2015-03-07,Calgary (CAN),World Allround Championships 2015,f,2014,3000
42,Morrison,Josie,CAN,"4.11,99",2015-03-20,Calgary (CAN),2015 Olympic Oval Finale / Canada Cup 4,f,2014,3000
43,Jeon,Ye-Jin,KOR,"4.12,03",2014-09-26,Calgary (CAN),Fall Classic,f,2014,3000
44,Zueva,Marina,BLR,"4.12,05",2015-03-07,Calgary (CAN),World Allround Championships 2015,f,2014,3000
45,Behlau,Leia,GER,"4.12,38",2015-03-07,Calgary (CAN),World Allround Championships 2015,f,2014,3000
46,Ost,Isabell,GER,"4.12,76",2014-12-12,Heerenveen (NED),ISU World Cup,f,2014,3000
47,Peeters,Jelena,BEL,"4.12,85",2014-10-17,Inzell (GER),International Race,f,2014,3000
48,Fu,Chunyan,CHN,"4.12,93",2014-11-22,Calgary (CAN),Can-Am International,f,2014,3000
49,Hao,Jiachen,CHN,"4.13,00",2015-03-07,Calgary (CAN),World Allround Championships 2015,f,2014,3000
50,Tabata,Maki,JPN,"4.13,12",2014-10-25,Nagano (JPN),Japan - Single Distances Championships 2015,f,2014,3000
51,Beckert,Stephanie,GER,"4.13,45",2015-02-01,Berlin (GER),Sonderläufe,f,2014,3000
52,Fujimura,Shoko,JPN,"4.13,56",2014-11-14,Obihiro (JPN),ISU World Cup,f,2014,3000
53,Liu,Jing,CHN,"4.13,61",2014-12-12,Heerenveen (NED),ISU World Cup,f,2014,3000
54,Spence,Victoria,CAN,"4.13,83",2015-03-20,Calgary (CAN),2015 Olympic Oval Finale / Canada Cup 4,f,2014,3000
55,Vormeer,Imke,NED,"4.13,89",2014-11-01,Heerenveen (NED),Netherlands - Single Distances Championships 2015,f,2014,3000
56,Bay,Jennifer,GER,"4.14,26",2015-02-28,Inzell (GER),International German Open 2015,f,2014,3000
57,Lamb,Maria,USA,"4.14,70",2014-10-24,Salt Lake City (USA),USA - Single Distances Championships 2015 / World Cup Qualifier,f,2014,3000
58,Dekker,Miranda,NED,"4.14,91",2014-12-27,Heerenveen (NED),Netherlands - Allround Championships 2015,f,2014,3000
58,Golubeva,Elizaveta,KAZ,"4.14,91",2015-02-03,Kolomna,Russia - Junior Championships 2015,f,2014,3000
60,Park,Do-Young,KOR,"4.14,98",2014-09-26,Calgary (CAN),Fall Classic,f,2014,3000
61,Park,Ji-Woo,KOR,"4.15,15",2014-09-26,Calgary (CAN),Fall Classic,f,2014,3000
62,Sokhryakova,Elena,RUS,"4.15,23",2015-01-10,Kolomna,Russia Cup 4,f,2014,3000
63,Goss,Aleksandra,POL,"4.15,39",2015-02-01,Hamar (NOR),ISU World Cup,f,2014,3000
64,Alusalu,Saskia,EST,"4.15,41",2014-12-05,Berlin (GER),ISU World Cup,f,2014,3000
65,Dedden,Ineke,NED,"4.15,82",2014-12-27,Heerenveen (NED),Netherlands - Allround Championships 2015,f,2014,3000
66,Lee,Seung-Jin,KOR,"4.15,84",2014-09-26,Calgary (CAN),Fall Classic,f,2014,3000
67,Takayama-Araki,Risa,JPN,"4.15,91",2014-12-12,Heerenveen (NED),ISU World Cup,f,2014,3000
68,Zdráhalová,Nikola,CZE,"4.15,96",2015-02-28,Calgary (CAN),Time Trials,f,2014,3000
69,Liang,Dan,CHN,"4.16,04",2014-11-22,Calgary (CAN),Can-Am International,f,2014,3000
70,de Neeling,Sanneke,NED,"4.16,23",2014-12-27,Heerenveen (NED),Netherlands - Allround Championships 2015,f,2014,3000
71,Sato,Ayano,JPN,"4.16,27",2014-11-22,Calgary (CAN),ISU Junior World Cup,f,2014,3000
72,Dufter,Roxane,GER,"4.16,39",2014-10-11,Inzell (GER),International Season Opening,f,2014,3000
73,van Hemert,Roxanne,NED,"4.16,60",2015-01-31,Erfurt (GER),Internationaler Vereinswettkampf,f,2014,3000
74,Bartlett,Erin,USA,"4.16,75",2014-11-22,Calgary (CAN),Can-Am International,f,2014,3000
75,Lund,Camilla,NOR,"4.16,84",2015-03-20,Calgary (CAN),2015 Olympic Oval Finale / Canada Cup 4,f,2014,3000
76,Oshigiri,Misaki,JPN,"4.16,85",2014-10-25,Nagano (JPN),Japan - Single Distances Championships 2015,f,2014,3000
77,Visser,Esmee,NED,"4.16,96",2014-12-27,Heerenveen (NED),Netherlands - Allround Championships 2015,f,2014,3000
78,Ensing,Janneke,NED,"4.17,10",2014-11-01,Heerenveen (NED),Netherlands - Single Distances Championships 2015,f,2014,3000
79,Ryzhova,Margarita,RUS,"4.17,20",2015-02-01,Hamar (NOR),ISU World Cup,f,2014,3000
80,Matsuoka,Fuyo,JPN,"4.17,54",2014-12-20,Obihiro (JPN),Japan - Allround Championships 2015,f,2014,3000
81,Schoutens,Carlijn,USA,"4.17,58",2015-01-09,Milwaukee (USA),USA - Long Track Championships 2015,f,2014,3000
82,Park,Cho-Won,KOR,"4.17,66",2014-12-05,Berlin (GER),ISU World Cup,f,2014,3000
83,Ushakova,Tatyana,RUS,"4.17,95",2014-12-28,Kolomna,Russia - Allround Championships 2015,f,2014,3000
84,Toi,Saori,JPN,"4.18,06",2014-12-20,Obihiro (JPN),Japan - Allround Championships 2015,f,2014,3000
85,van der Schaar,Sanne,NED,"4.18,12",2014-12-27,Heerenveen (NED),Netherlands - Allround Championships 2015,f,2014,3000
86,Nam,Jee-Eun,KOR,"4.18,41",2014-09-26,Calgary (CAN),Fall Classic,f,2014,3000
87,Hirschbichler,Gabriele,GER,"4.18,44",2014-10-11,Inzell (GER),International Season Opening,f,2014,3000
88,Kamminga,Manon,NED,"4.18,51",2015-01-31,Groningen (NED),Gruno Bokaal / Zilveren Schaats / Holland Cup,f,2014,3000
89,Kiyama,Mai,JPN,"4.18,75",2015-02-14,Nagano (JPN),13th M-Wave Cup,f,2014,3000
90,Schouten,Kelly,NED,"4.18,87",2014-10-11,Inzell (GER),International Season Opening,f,2014,3000
91,Lim,Jung-Soo,KOR,"4.19,12",2015-03-21,Seoul (KOR),48th National University Championships,f,2014,3000
92,Fudalej,Angelika,POL,"4.19,33",2015-02-01,Hamar (NOR),ISU World Cup,f,2014,3000
93,Takahashi,Nana,JPN,"4.19,63",2015-02-14,Nagano (JPN),13th M-Wave Cup,f,2014,3000
94,Uhrig,Michelle,GER,"4.19,67",2015-02-28,Inzell (GER),International German Open 2015,f,2014,3000
95,Likhacheva,Galina,RUS,"4.19,71",2014-12-28,Kolomna,Russia - Allround Championships 2015,f,2014,3000
96,Kachurkina,Alexandra,RUS,"4.19,76",2015-01-22,Kolomna,Russia - Single Distances Championships 2015,f,2014,3000
97,Keulstra,Pien,NED,"4.20,28",2015-02-15,Enschede (NED),Holland Cup 3,f,2014,3000
98,Kiel,Esther,NED,"4.20,46",2014-10-11,Inzell (GER),International Season Opening,f,2014,3000
99,Włodarczyk,Urszula,POL,"4.20,57",2014-12-12,Heerenveen (NED),ISU World Cup,f,2014,3000
100,van Tol,Manouk,NED,"4.20,78",2014-12-27,Heerenveen (NED),Netherlands - Allround Championships 2015,f,2014,3000
1,Sáblíková,Martina,CZE,"6.51,21",2015-03-08,Calgary (CAN),World Allround Championships 2015,f,2014,5000
2,Achtereekte,Carlijn,NED,"6.54,49",2015-02-13,Heerenveen (NED),World Single Distances Championships 2015,f,2014,5000
3,Pechstein,Claudia,GER,"6.56,53",2015-02-13,Heerenveen (NED),World Single Distances Championships 2015,f,2014,5000
4,Kleibeuker,Carien,NED,"7.00,67",2014-11-02,Heerenveen (NED),Netherlands - Single Distances Championships 2015,f,2014,5000
5,de Vries,Linda,NED,"7.03,43",2015-03-08,Calgary (CAN),World Allround Championships 2015,f,2014,5000
6,Voorhuis,Jorien,NED,"7.03,54",2014-11-02,Heerenveen (NED),Netherlands - Single Distances Championships 2015,f,2014,5000
7,Nauta,Yvonne,NED,"7.03,60",2014-11-02,Heerenveen (NED),Netherlands - Single Distances Championships 2015,f,2014,5000
8,Wüst,Ireen,NED,"7.03,99",2015-03-08,Calgary (CAN),World Allround Championships 2015,f,2014,5000
9,Njåtun,Ida,NOR,"7.04,00",2015-03-08,Calgary (CAN),World Allround Championships 2015,f,2014,5000
10,Valkenburg,Diane,NED,"7.04,14",2014-11-02,Heerenveen (NED),Netherlands - Single Distances Championships 2015,f,2014,5000
11,Meijer,Rixt,NED,"7.05,87",2014-11-02,Heerenveen (NED),Netherlands - Single Distances Championships 2015,f,2014,5000
12,Rijpma-de Jong,Antoinette,NED,"7.05,95",2014-11-02,Heerenveen (NED),Netherlands - Single Distances Championships 2015,f,2014,5000
13,Blondin,Ivanie,CAN,"7.06,99",2015-03-08,Calgary (CAN),World Allround Championships 2015,f,2014,5000
14,Graf,Olga,RUS,"7.07,89",2015-02-13,Heerenveen (NED),World Single Distances Championships 2015,f,2014,5000
15,van der Geest,Lisa,NED,"7.07,97",2014-11-02,Heerenveen (NED),Netherlands - Single Distances Championships 2015,f,2014,5000
16,Schouten,Irene,NED,"7.08,18",2014-11-02,Heerenveen (NED),Netherlands - Single Distances Championships 2015,f,2014,5000
17,Joling,Marije,NED,"7.08,80",2015-03-08,Calgary (CAN),World Allround Championships 2015,f,2014,5000
18,van der Molen,Jade,NED,"7.10,52",2014-11-02,Heerenveen (NED),Netherlands - Single Distances Championships 2015,f,2014,5000
19,Morrison,Josie,CAN,"7.12,71",2015-03-21,Calgary (CAN),2015 Olympic Oval Finale / Canada Cup 4,f,2014,5000
20,Garrido,Nicole,CAN,"7.13,23",2015-03-21,Calgary (CAN),2015 Olympic Oval Finale / Canada Cup 4,f,2014,5000
21,Beckert,Stephanie,GER,"7.13,33",2014-11-02,Berlin (GER),Germany - Single Distances Championships 2015,f,2014,5000
22,Takagi,Nana,JPN,"7.13,66",2014-12-21,Obihiro (JPN),Japan - Allround Championships 2015,f,2014,5000
23,Spence,Victoria,CAN,"7.13,70",2015-03-21,Calgary (CAN),2015 Olympic Oval Finale / Canada Cup 4,f,2014,5000
24,Chernova,Anna,RUS,"7.13,71",2015-02-13,Heerenveen (NED),World Single Distances Championships 2015,f,2014,5000
25,Fujimura,Shoko,JPN,"7.14,05",2014-12-21,Obihiro (JPN),Japan - Allround Championships 2015,f,2014,5000
26,Weidemann,Isabelle,CAN,"7.14,55",2015-03-21,Calgary (CAN),2015 Olympic Oval Finale / Canada Cup 4,f,2014,5000
27,van der Weijden,Annouk,NED,"7.14,96",2014-11-02,Heerenveen (NED),Netherlands - Single Distances Championships 2015,f,2014,5000
28,Pflug,Bente,GER,"7.15,66",2014-11-02,Berlin (GER),Germany - Single Distances Championships 2015,f,2014,5000
29,Wijfje,Melissa,NED,"7.16,35",2014-12-28,Heerenveen (NED),Netherlands - Allround Championships 2015,f,2014,5000
30,McGuire,Lauren,CAN,"7.16,64",2015-03-21,Calgary (CAN),2015 Olympic Oval Finale / Canada Cup 4,f,2014,5000
31,Peeters,Jelena,BEL,"7.17,28",2015-02-13,Heerenveen (NED),World Single Distances Championships 2015,f,2014,5000
32,Sokhryakova,Elena,RUS,"7.18,08",2015-01-24,Kolomna,Russia - Single Distances Championships 2015,f,2014,5000
33,Jeon,Ye-Jin,KOR,"7.19,58",2014-09-27,Calgary (CAN),Fall Classic,f,2014,5000
34,Vormeer,Imke,NED,"7.19,89",2014-10-11,Erfurt (GER),International Opening Race,f,2014,5000
35,Bergsma,Heather,USA,"7.20,27",2015-03-08,Calgary (CAN),World Allround Championships 2015,f,2014,5000
36,Lamb,Maria,USA,"7.20,42",2015-02-13,Heerenveen (NED),World Single Distances Championships 2015,f,2014,5000
37,Voronina,Natalia,RUS,"7.20,66",2015-01-11,Chelyabinsk,European Championships 2015,f,2014,5000
38,Kikuchi,Ayaka,JPN,"7.21,09",2014-12-21,Obihiro (JPN),Japan - Allround Championships 2015,f,2014,5000
39,Keulstra,Pien,NED,"7.21,28",2015-03-08,Den Haag (NED),Holland Cup Finale,f,2014,5000
40,Schoutens,Carlijn,USA,"7.21,90",2015-01-10,Milwaukee (USA),USA - Long Track Championships 2015,f,2014,5000
41,Lund,Camilla,NOR,"7.22,92",2015-03-21,Calgary (CAN),2015 Olympic Oval Finale / Canada Cup 4,f,2014,5000
42,Skokova,Yuliya,RUS,"7.23,44",2014-10-30,Moscow,Moscow Open Cup / World Cup Qualifier,f,2014,5000
43,Christ,Kali,CAN,"7.24,10",2015-03-08,Calgary (CAN),World Allround Championships 2015,f,2014,5000
