ID,Family Name,Given Name,Gender
28949,Beskrovnykh,Darya,f
41201,van Klink,Quinty,f
9178,Weerts,Anke,f
25431,Huizing,Chantal,f
19599,Borgersen,Silje Kristine,f
20960,van der Steen,Marjolein,f
56435,de Groot,Rolien,f
43437,Siro,Sini,f
23612,van Zantvliet,Carla,f
24648,Samsonsen,Julie Nistad,f
35521,Fledderus,Marrit,f
27124,Kato,Rino,f
25742,Verkerk,Naomi,f
49728,Grevelt,Isabel,f
56405,Hai,Tiange,f
29434,Groenewoud,Marijke,f
24915,Hogaş,Mihaela,f
23859,Demidova,Anastasiya,f
75774,Jon,Ok-Sim,f
40694,An,Hyang-Mi,f
36011,de Boer,Myrthe,f
33984,Morozova,Nadezhda,f
31292,Jelonek,Gabrielle,f
22909,Lancee,Gioya,f
83109,Zhou,Yang,f
67070,Chen,Aoyu,f
83186,Zhang,Yuanyuan,f
54472,Horikawa,Momoka,f
27706,Vijn,Evelien,f
83189,Chen,Sijia,f
59195,Rossi,Linda,f
78037,Tas,Sandrine,f
42470,Härdi,Ramona,f
67071,Zhou,Jiarong,f
22940,Dekker,Sandra,f
18541,Hendriks,Chantal,f
83187,Shao,Shiqian,f
37822,Fukuoka,Ayuri,f
28373,Grumand,Kristina,f
76898,Song,Yang,f
43320,Hanaoka,Koto,f
31024,Kerkhoff,Bente,f
50916,Hall,Laura,f
26650,Noppert,Hilde,f
40078,Fukuda,Kotone,f
42649,Wakahara,Kono,f
43306,Yazawa,Akari,f
34992,Riemersma-van Rheenen,Eva,f
10868,Verweij,Gerdien,f
42355,Jonkers,Zonne,f
27865,Egers,Jasmijn,f
7506,Kramer,Renske,f
10929,Beets,Suzanne,f
916,Mewißen,Michaele,f
62997,Leschner,Katrin,f
75290,Hasselø,Randi,f
33236,Feinberg,Kathy,f
4185,Johnsen,Svetlana,f
77276,Holth,Monika,f
87273,Gravvold,Tone,f
87244,Røhme,Kjerstina,f
87323,Hendriks,Bernadette,f
62951,Fossum,Hege Stubberud,f
85537,Støholen,Jenny,f
62955,Svee,Mia,f
71920,Mikkelsen,Emma Moen,f
71921,Mikkelsen,Mia Moen,f
86255,Hoff,Marit,f
62958,Vingelsgaard,Goro,f
62721,Hylen,Emma,f
24689,Poutsma,Selma,f
41110,van Beijnum,Marit,f
6837,Warren,Sarah,f
75706,Vanhoutte,Stien,f
35619,Ostlender,Anna,f
51876,Yoshida,Yukino,f
43938,vander Weide,Sacha,f
36110,Avtonomova,Marina,f
41691,Smit,Pien,f
32909,Heimerl,Josephine,f
46965,Lee,Na-Hyun,f
35731,Usami,Suzune,f
33716,Bats,Leonie,f
29791,Park,Chae-Eun,f
38177,Dalrymple,Georgie,f
29022,Sloeva,Ekaterina,f
49350,Daleman,Angel,f
44683,Hoogendoorn,Chloé,f
41805,Kaminaga,Shione,f
26482,Jabrzyk,Natalia,f
94361,Kang,Hyon-Jong,f
51400,Groenewoud,Jade,f
43308,Miyagawa,Suzuka,f
38142,Grigoreva,Anastasiia,f
69048,Sayutina,Aleksandra,f
70249,Jurak,Jamie,f
37786,Karai,Maho,f
68915,Gomez,Laura,f
40445,Gelling,Evi,f
51423,Kraaijeveld,Sophie,f
71766,Weigel,Dessie,f
36877,Akiyama,Mitsuki,f
63349,Takahashi,Mio,f
51469,van Oorschot,Diede,f
43293,Uwano,Eriko,f
57349,Morino,Kokoro,f
2805,Ezzi,Ranya,f
75922,Antošová,Veronika,f
63350,Maeda,Azusa,f
41833,Hayashi,Miku,f
43655,Birkeland,Giorgia,f
27163,Furnée,Marte Bjerkreim,f
31069,Osano,Azusa,f
56057,Bekker,Alisa,f
46713,Kimura,Yuki,f
48646,Miyasaka,Nao,f
83192,Choe,Rim-Hyang,f
36037,Sasaki,Haruka,f
94362,Kim,Hyo-Sim,f
22286,Haugli,Marie Bakken,f
44712,Sætersdal,Victoria Keltie,f
89571,Pak,Chol-Ok,f
56766,Rim,Sol-Gyong,f
36880,Yasuda,Ayaka,f
46155,Svenni,Hanna,f
49369,Dahn,Åse Marie,f
43049,Norheim,Olina,f
56862,Steen,Elle Borgen,f
26891,Agafoshina,Elizaveta,f
38502,Warmuth,Sophie,f
57535,Hoekstra,Jildou,f
35343,Laliberté-Roy,Rose,f
57991,Dauranova,Alina,f
51793,Dąbrowska,Wiktoria,f
31895,Boersma,Anna,f
32801,Desmarais,Alison,f
6532,McGregor,Kaitlyn,f
57266,Bourgeois,Anna,f
68934,Myers,Greta,f
69164,Kuršová,Zuzana,f
30745,Maffei,Federica,f
47321,Korzhova,Kseniya,f
59615,Hofmann,Josie,f
23748,van der Werf,Naomi,f
60826,Conrad,Jessica,f
56298,Espinosa,Valentina,f
33707,Stirnemann,Victoria,f
31772,Hagen,Kiersten,f
38244,Jasch,Maira,f
46482,Mallard,Claire,f
52466,Iida,Akane,f
35352,Cayer,Laurie,f
41200,van Ditshuizen,Vera,f
46144,Schlörb,Josephine,f
10864,van Pierre,Melissa,f
41548,van Wees,Britt,f
51251,Schuitemaker,Jitte,f
69854,Cartier,Leila,f
44104,van den Berg,Meerle,f
46559,Larouche,Guylaine,f
31083,Arnell,Disa,f
52963,Andersen,Milla Grønvold,f
76316,Andersson,Beyoncé,f
20183,Sivertsen,Solfrid,f
12312,Westendorp,Maud,f
57735,Frijters,Daniëlle,f
22802,Steen,Marita Agnethe,f
6685,Tassara,Silvia,f
5325,Bredalslien,Line Moen,f
8246,Lien,Eirin,f
14948,Fiskvik Rokseth,Ingrid,f
20638,Nerdahl,Tove Julianne,f
62722,Hylen,Hedda,f
62723,Fossum,Mira,f
86258,Løvlien,Brit,f
62726,Fossum,Vilma,f
93642,Findahl,May Silje,f
62720,Fossum,Leah,f
84598,Distad,Maja,f
51920,Hersman,Pien,f
31020,Westerhuis,Ramona,f
64097,González,Luisa Maria,f
43960,Pergher,Serena,f
83233,Browne,McKenzie,f
70351,Zou,Xinyue,f
43398,Kas,Sylke,f
23600,Jagtøyen,Carina,f
26490,Baran,Martyna,f
45986,Duizendstraal,Amber,f
72255,Bieber,Sofia,f
69224,Jung,Hui-Dan,f
51311,Li,Chenyu,f
48070,Liu,Xinyue,f
54693,Cruikshank,Blair,f
49977,Shaczkikh,Anastasiya,f
62870,Onodera,Hina,f
35591,Wojtasik,Iga,f
106044,Hyon,Il-Hyang,f
44488,Kravchenko,Aleksandra,f
106057,Ri,Jin-Mi,f
51022,Veen,Meike,f
91920,Hwang,Hyun-Sun,f
45111,Jin,Wenjing,f
64251,Kojima,Kaede,f
70641,Hatakeyama,Yukina,f
47806,Westra,Sanne,f
57343,Shinno,Misaki,f
51458,Semyonova,Anastasiya,f
46963,Kang,Soo-Min,f
70388,Jiang,Jiamin,f
35944,Ebbinge,Romée,f
61968,Rosner,Jeannine,f
99580,Thorup,Sofia,f
25298,Pruisscher,Arianna,f
76103,Lorenzato,Laura,f
69992,Noake,Hana,f
63959,Løvås,Aurora Grinden,f
43555,Piotrowska,Olga,f
20235,Salnikova,Irina,f
50310,Aldoshkina,Ekaterina,f
37370,Suzuki,Shuuka,f
54295,Miyagawa,Emika,f
56341,Li,Leming,f
69064,Wang,Caihong,f
59013,Karai,Harune,f
83238,Zhang,Xiaoping,f
41482,Ehseluns,Marlen,f
65957,Mercs,Abigél,f
43325,Kondo,Anna,f
83407,Park,Chae-Won,f
45340,Jin,Xiuzhen,f
45337,Yang,Meina,f
105339,Sun,Yimeng,f
46113,Brommer,Esmée,f
41847,Bachl,Julia,f
73784,Sivets,Polina,f
59404,Huang,Dongyue,f
78991,Deng,Tianxin,f
57345,Kimura,Sae,f
75832,Xue,Jiayi,f
43621,Bolks,Florien,f
57578,Prins,Susanne,f
52195,Roemaat,Wieke,f
51039,Veuger,Emma Alida,f
92325,van der Liet,Emma,f
9809,Bouman,Esther,f
94396,Nordstad Storli,Berit,f
52172,Cais,Monica,f
4191,Sandø,Ingunn,f
59722,Ulveseth,Lovise,f
53636,Soleng,Helene Søreng,f
97673,Brøten,Mona,f
105601,Veie,Laila Iren,f
100256,Larter,Jenna,f
47615,de Visser,Ju-Lin,f
69093,Wang,Jingziqian,f
85710,Yu,Shihui,f
30385,Wang,Yingying,f
52507,Bouaziz,Yasmine,f
62755,Aro,Miki,f
60901,Quinn,Anna,f
51805,Braun,Zofia,f
70364,Liu,Yunqi,f
76104,Luciani,Veronica,f
36122,Sjøbrend,Julie Berg,f
86951,Sekiguchi,Ayano,f
51958,Sybrandi,Anna Marit,f
57408,Korvasová,Lucie,f
67058,Li,Jiaxuan,f
45990,Oosterwijk,Sanne,f
70384,Tai,Zhien,f
29931,Mossinkoff,Femke,f
38326,Eichler,Ingrid Håkegård,f
89527,Tachibana,Kirara,f
60851,Soldan,Marley,f
29456,Konstantinova,Ekaterina,f
49505,Schilder,Sofia,f
57724,Dingjan,Lara,f
68450,Jansen,Lenthe,f
50570,Houtzager,Hilde,f
54069,Kloß,Christiane,f
44111,van Vuuren,Nerena,f
51583,Meijer,Anne,f
33775,Svensson,Tina,f
61018,Gjølga,Saga Finnstø,f
38527,Tol,Rixt,f
94020,Birkeli,Maria Godø,f
97974,Geesken,Robin,f
86244,Sarantuya,Ravdan,f
76963,Herschke,Peggy,f
