,Rank,Family Name,Given Name,Nationality,Time,Date,Location,Event,Gender,Year,Distance
5002,90,Furnée,Marte Bjerkreim,NOR,"7.37,95",2024-01-14,Hamar (NOR),Norway - Allround Championships 2024,f,2023,5000
5003,91,Zhang,Xiaoping,CHN,"7.38,02",2024-01-14,Hailar (CHN),14th Winter Games of the People's Republic of China,f,2023,5000
5004,92,Jabrzyk,Natalia,POL,"7.38,17",2024-02-29,Tomaszów-Mazowiecki (POL),Poland - Allround Championships 2024,f,2023,5000
5005,93,Chen,Sijia,CHN,"7.38,36",2024-03-15,Beijing-National (CHN),China - National Championships 2024,f,2023,5000
5006,94,Oosterwijk,Sanne,NED,"7.38,41",2023-10-09,Heerenveen (NED),Gewestelijke Wedstrijd,f,2023,5000
5007,95,Ehseluns,Marlen,GER,"7.38,42",2023-10-28,Inzell (GER),Germany - Single Distances Championships 2024,f,2023,5000
5008,96,Schilder,Sofia,NED,"7.38,83",2024-03-03,Hoorn (NED),Netherlands - Junior A/B Sprint / Long Distance / Team Sprint Championships 2024,f,2023,5000
5009,97,Kondo,Anna,JPN,"7.39,17",2023-08-26,Hachinohe - YS Arena (JPN),2023 Longnet Summer Speed Skating Competition,f,2023,5000
5010,98,Zhao,Xin,CHN,"7.39,36",2023-11-11,Harbin (CHN),China Cup 2,f,2023,5000
5011,99,Yin,Qi,CHN,"7.39,43",2023-11-11,Harbin (CHN),China Cup 2,f,2023,5000
5012,100,Sivets,Polina,BLR,"7.39,82",2023-11-12,Minsk,Belarus - Open Single Distances Championships 2024,f,2023,5000
5013,1,Kulizhnikov,Pavel,RUS,"34,38",2015-02-15,Heerenveen (NED),World Single Distances Championships 2015,m,2014,500
5014,2,Mulder,Ronald,NED,"34,49",2015-03-14,Calgary (CAN),2015 Winter Classic - Olympic Oval Grand Prix,m,2014,500
5015,3,Dubreuil,Laurent,CAN,"34,50",2015-01-05,Calgary (CAN),Canada - Single Distances Championships 2015,m,2014,500
5016,4,Whitmore,Mitchell,USA,"34,53",2015-03-21,Calgary (CAN),2015 Olympic Oval Finale / Canada Cup 4,m,2014,500
5017,5,Junio,Gilmore,CAN,"34,55",2015-01-05,Calgary (CAN),Canada - Single Distances Championships 2015,m,2014,500
5018,6,Otterspeer,Hein,NED,"34,74",2015-02-15,Heerenveen (NED),World Single Distances Championships 2015,m,2014,500
5019,6,Boisvert-Lacroix,Alex,CAN,"34,74",2015-03-14,Calgary (CAN),2015 Winter Classic - Olympic Oval Grand Prix,m,2014,500
5020,8,Gregg,Jamie,CAN,"34,77",2014-11-21,Calgary (CAN),Can-Am International,m,2014,500
5021,8,Mulder,Michel,NED,"34,77",2015-02-15,Heerenveen (NED),World Single Distances Championships 2015,m,2014,500
5022,10,Waś,Artur,POL,"34,79",2015-02-15,Heerenveen (NED),World Single Distances Championships 2015,m,2014,500
5023,11,St-Jean,Alexandre,CAN,"34,82",2015-03-21,Calgary (CAN),2015 Olympic Oval Finale / Canada Cup 4,m,2014,500
5024,12,Dutton,William,CAN,"34,85",2014-10-25,Calgary (CAN),World Cup Trials,m,2014,500
5025,12,Smeekens,Jan,NED,"34,85",2014-10-31,Heerenveen (NED),Netherlands - Single Distances Championships 2015,m,2014,500
5026,14,Verbij,Kai,NED,"34,87",2015-03-21,Calgary (CAN),2015 Olympic Oval Finale / Canada Cup 4,m,2014,500
5027,15,MacLennan,Richard,CAN,"34,89",2015-01-04,Calgary (CAN),Canada - Single Distances Championships 2015,m,2014,500
5028,16,Mo,Tae-Bum,KOR,"34,90",2015-02-15,Heerenveen (NED),World Single Distances Championships 2015,m,2014,500
5029,17,Krech,Roman,KAZ,"34,92",2015-02-28,Astana (KAZ),World Sprint Championships 2015,m,2014,500
5030,18,Murashov,Ruslan,RUS,"34,95",2015-02-28,Astana (KAZ),World Sprint Championships 2015,m,2014,500
5031,19,Hvammen,Espen Aarnes,NOR,"34,97",2015-02-15,Heerenveen (NED),World Single Distances Championships 2015,m,2014,500
5032,19,Riopel,Philippe,CAN,"34,97",2015-03-19,Calgary (CAN),2015 Olympic Oval Finale / Canada Cup 4,m,2014,500
5033,19,Nakao,Koto,JPN,"34,97",2015-03-21,Calgary (CAN),2015 Olympic Oval Finale / Canada Cup 4,m,2014,500
5034,22,Morrison,Denny,CAN,"34,98",2015-03-07,Calgary (CAN),World Allround Championships 2015,m,2014,500
5035,23,Derraugh,Tyler,CAN,"35,00",2015-01-04,Calgary (CAN),Canada - Single Distances Championships 2015,m,2014,500
5036,24,Poutala,Mika,FIN,"35,03",2015-03-01,Astana (KAZ),World Sprint Championships 2015,m,2014,500
5037,25,Yesin,Alexey,RUS,"35,04",2015-02-15,Heerenveen (NED),World Single Distances Championships 2015,m,2014,500
5038,26,Ihle,Nico,GER,"35,05",2015-02-28,Astana (KAZ),World Sprint Championships 2015,m,2014,500
5039,27,Hospes,Jesper,NED,"35,06",2015-02-15,Heerenveen (NED),World Single Distances Championships 2015,m,2014,500
5040,27,N'tab,Dai Dai,NED,"35,06",2015-03-19,Calgary (CAN),2015 Olympic Oval Finale / Canada Cup 4,m,2014,500
5041,29,Kim,Jun-Ho,KOR,"35,10",2014-09-28,Calgary (CAN),Fall Classic,m,2014,500
5042,29,Koval,Denis,RUS,"35,10",2014-12-07,Berlin (GER),ISU World Cup,m,2014,500
5043,31,Haga,Ryohei,JPN,"35,13",2014-12-05,Berlin (GER),ISU World Cup,m,2014,500
5044,32,De Haître,Vincent,CAN,"35,14",2014-10-25,Calgary (CAN),World Cup Trials,m,2014,500
5045,33,Schipper,Pim,NED,"35,15",2015-01-31,Heerenveen (NED),Trainingswedstrijd JO en Merkenteams,m,2014,500
5046,33,Jorritsma,Gerben,NED,"35,15",2015-02-28,Calgary (CAN),Time Trials,m,2014,500
5047,35,Kuznetsov,Artyom,RUS,"35,23",2014-12-05,Berlin (GER),ISU World Cup,m,2014,500
5048,36,Nenzi,Mirko Giacomo,ITA,"35,25",2014-12-21,Almaty (KAZ),2nd World University Championships,m,2014,500
5049,37,Oikawa,Yuya,JPN,"35,26",2014-10-25,Nagano (JPN),Japan - Single Distances Championships 2015,m,2014,500
5050,37,Sung,Ching-Yang,TPE,"35,26",2015-01-11,Changchun (CHN),Asian Single Distances Championships 2015,m,2014,500
5051,39,Nogal,Artur,POL,"35,27",2015-03-01,Astana (KAZ),World Sprint Championships 2015,m,2014,500
5052,40,Garcia,Jonathan,USA,"35,30",2015-03-21,Calgary (CAN),2015 Olympic Oval Finale / Canada Cup 4,m,2014,500
5053,41,Koskela,Pekka,FIN,"35,31",2015-02-28,Astana (KAZ),World Sprint Championships 2015,m,2014,500
5054,42,Nagashima,Keiichiro,JPN,"35,34",2014-12-12,Heerenveen (NED),ISU World Cup,m,2014,500
5055,43,Lorentzen,Håvard Holmefjord,NOR,"35,37",2015-03-01,Astana (KAZ),World Sprint Championships 2015,m,2014,500
5056,44,Nakamura,Kento,JPN,"35,40",2015-03-19,Calgary (CAN),2015 Olympic Oval Finale / Canada Cup 4,m,2014,500
5057,45,Mu,Zhongsheng,CHN,"35,41",2014-12-12,Heerenveen (NED),ISU World Cup,m,2014,500
5058,45,Davis,Shani,USA,"35,41",2015-01-09,Milwaukee (USA),USA - Long Track Championships 2015,m,2014,500
5059,47,Nuis,Kjeld,NED,"35,42",2014-10-31,Heerenveen (NED),Netherlands - Single Distances Championships 2015,m,2014,500
5060,47,Yamanaka,Daichi,JPN,"35,42",2015-03-21,Calgary (CAN),2015 Olympic Oval Finale / Canada Cup 4,m,2014,500
5061,49,Lee,Kang-Seok,KOR,"35,43",2014-10-11,Calgary (CAN),Time Trials,m,2014,500
5062,49,van Oosten,Martijn,NED,"35,43",2015-03-21,Calgary (CAN),2015 Olympic Oval Finale / Canada Cup 4,m,2014,500
5063,49,Romeijn,Aron,NED,"35,43",2015-03-21,Calgary (CAN),2015 Olympic Oval Finale / Canada Cup 4,m,2014,500
5064,52,Schwarz,Samuel,GER,"35,44",2014-12-05,Berlin (GER),ISU World Cup,m,2014,500
5065,53,Choi,Mikhail,CAN,"35,46",2015-01-05,Calgary (CAN),Canada - Single Distances Championships 2015,m,2014,500
5066,54,Xie,Jiaxuan,CHN,"35,48",2015-02-28,Astana (KAZ),World Sprint Championships 2015,m,2014,500
5067,54,Michalski,Piotr,POL,"35,48",2015-03-01,Astana (KAZ),World Sprint Championships 2015,m,2014,500
5068,56,Kim,Seong-Kyu,KOR,"35,50",2014-10-11,Calgary (CAN),Time Trials,m,2014,500
5069,56,Ouardi,Muncef,CAN,"35,50",2015-01-04,Calgary (CAN),Canada - Single Distances Championships 2015,m,2014,500
5070,56,Wang,Nan,CHN,"35,50",2015-01-11,Changchun (CHN),Asian Single Distances Championships 2015,m,2014,500
5071,59,Ishiro,Kazuki,JPN,"35,51",2015-03-19,Calgary (CAN),2015 Olympic Oval Finale / Canada Cup 4,m,2014,500
5072,60,Velema,Lennart,NED,"35,52",2014-10-31,Heerenveen (NED),Netherlands - Single Distances Championships 2015,m,2014,500
5073,60,Ihle,Denny,GER,"35,52",2014-12-05,Berlin (GER),ISU World Cup,m,2014,500
5074,62,Hasegawa,Tsubasa,JPN,"35,53",2014-12-12,Heerenveen (NED),ISU World Cup,m,2014,500
5075,63,Mezentsev,Fedor,KAZ,"35,57",2014-12-21,Almaty (KAZ),2nd World University Championships,m,2014,500
5076,63,Kim,Tae-Yun,KOR,"35,57",2015-03-20,Seoul (KOR),48th National University Championships,m,2014,500
5077,65,Kuzin,Denis,KAZ,"35,58",2015-03-01,Astana (KAZ),World Sprint Championships 2015,m,2014,500
5078,66,Griffin,Kimani,USA,"35,59",2015-01-09,Milwaukee (USA),USA - Long Track Championships 2015,m,2014,500
5079,66,Guo,Qiang,CHN,"35,59",2015-01-11,Changchun (CHN),Asian Single Distances Championships 2015,m,2014,500
5080,66,Zanghellini,Luca,ITA,"35,59",2015-02-14,Inzell (GER),Frillensee Cup,m,2014,500
5081,69,Groothuis,Stefan,NED,"35,60",2014-10-11,Inzell (GER),International Season Opening,m,2014,500
5082,69,Owada,Tsukasa,JPN,"35,60",2014-12-30,Nagano (JPN),Japan - Sprint Championships 2015,m,2014,500
5083,71,Carruthers,Dan,CAN,"35,62",2015-03-21,Calgary (CAN),2015 Olympic Oval Finale / Canada Cup 4,m,2014,500
5084,72,Dressel,Denis,GER,"35,63",2015-01-18,Inzell (GER),Frillensee Cup,m,2014,500
5085,73,Yuskov,Denis,RUS,"35,64",2015-03-07,Calgary (CAN),World Allround Championships 2015,m,2014,500
5086,73,Levo,Harri,FIN,"35,64",2015-03-19,Calgary (CAN),2015 Olympic Oval Finale / Canada Cup 4,m,2014,500
5087,75,Mantia,Joey,USA,"35,65",2015-01-09,Milwaukee (USA),USA - Long Track Championships 2015,m,2014,500
5088,75,Henkelman,Jordan,CAN,"35,65",2015-03-14,Calgary (CAN),2015 Winter Classic - Olympic Oval Grand Prix,m,2014,500
5089,77,Moon,Joon,KOR,"35,67",2014-10-04,Calgary (CAN),Time Trials,m,2014,500
5090,77,Murakami,Yuma,JPN,"35,67",2014-11-08,Obihiro (JPN),Japan Cup 1,m,2014,500
5091,77,Bosa,David,ITA,"35,67",2015-02-28,Astana (KAZ),World Sprint Championships 2015,m,2014,500
5092,80,Krol,Thomas,NED,"35,69",2014-10-31,Heerenveen (NED),Netherlands - Single Distances Championships 2015,m,2014,500
5093,80,Kim,Jin-Su,KOR,"35,69",2015-03-20,Seoul (KOR),2015 Korea Skating Union Business Competition,m,2014,500
5094,82,Bai,Qiuming,CHN,"35,70",2014-09-26,Calgary (CAN),Fall Classic,m,2014,500
5095,83,Oberbichler,Christian,SUI,"35,71",2014-12-12,Heerenveen (NED),ISU World Cup,m,2014,500
5096,83,Zhang,Zhongqi,CHN,"35,71",2014-12-20,Changchun (CHN),China - Sprint Championships 2015,m,2014,500
5097,83,Nakamura,Shunsuke,JPN,"35,71",2014-12-29,Nagano (JPN),Japan - Sprint Championships 2015,m,2014,500
5098,86,Nilsen,Simen Spieler,NOR,"35,72",2015-02-28,Calgary (CAN),Time Trials,m,2014,500
5099,86,Bogolyubskij,Igor,RUS,"35,72",2015-03-07,Kolomna,Russia Cup,m,2014,500
5100,88,Rukke,Christoffer Fagerli,NOR,"35,74",2015-03-21,Calgary (CAN),2015 Olympic Oval Finale / Canada Cup 4,m,2014,500
5101,89,Bøkko,Håvard,NOR,"35,75",2015-02-28,Calgary (CAN),Time Trials,m,2014,500
5102,89,Bródka,Zbigniew,POL,"35,75",2015-02-28,Calgary (CAN),Time Trials,m,2014,500
5103,89,Kim,Woo-Jin,KOR,"35,75",2015-03-14,Seoul (KOR),50th Memorial Competition,m,2014,500
5104,92,Ruel-Garvey,Alex,CAN,"35,76",2015-03-14,Calgary (CAN),2015 Winter Classic - Olympic Oval Grand Prix,m,2014,500
5105,93,Im,Joon-Hong,KOR,"35,77",2015-03-20,Seoul (KOR),48th National University Championships,m,2014,500
5106,94,Lobkov,Dmitrij,RUS,"35,79",2014-11-13,Chelyabinsk,Russia Cup 2,m,2014,500
5107,95,de Vries,Sjoerd,NED,"35,80",2015-01-03,Inzell (GER),Frillensee Cup,m,2014,500
5108,95,Verweij,Koen,NED,"35,80",2015-02-28,Calgary (CAN),Time Trials,m,2014,500
5109,97,Hamelin,François,CAN,"35,81",2014-10-25,Calgary (CAN),World Cup Trials,m,2014,500
5110,97,Ikeda,Shinichiro,JPN,"35,81",2014-10-25,Nagano (JPN),Japan - Single Distances Championships 2015,m,2014,500
5111,97,Yamada,Masaya,JPN,"35,81",2014-11-23,Calgary (CAN),ISU Junior World Cup,m,2014,500
5112,97,Wijsman,Arvin,NED,"35,81",2015-03-21,Calgary (CAN),2015 Olympic Oval Finale / Canada Cup 4,m,2014,500
5113,1,De Haître,Vincent,CAN,"1.07,63",2015-01-05,Calgary (CAN),Canada - Single Distances Championships 2015,m,2014,1000
5114,2,Verbij,Kai,NED,"1.07,74",2015-03-21,Calgary (CAN),2015 Olympic Oval Finale / Canada Cup 4,m,2014,1000
5115,3,Gregg,Jamie,CAN,"1.07,89",2015-03-21,Calgary (CAN),2015 Olympic Oval Finale / Canada Cup 4,m,2014,1000
5116,4,Morrison,Denny,CAN,"1.07,98",2014-10-26,Calgary (CAN),World Cup Trials,m,2014,1000
5117,5,Mulder,Ronald,NED,"1.07,99",2015-03-21,Calgary (CAN),2015 Olympic Oval Finale / Canada Cup 4,m,2014,1000
5118,6,Davis,Shani,USA,"1.08,03",2014-10-26,Salt Lake City (USA),USA - Single Distances Championships 2015 / World Cup Qualifier,m,2014,1000
5119,7,Whitmore,Mitchell,USA,"1.08,24",2015-03-21,Calgary (CAN),2015 Olympic Oval Finale / Canada Cup 4,m,2014,1000
5120,8,Nuis,Kjeld,NED,"1.08,25",2014-11-02,Heerenveen (NED),Netherlands - Single Distances Championships 2015,m,2014,1000
5121,9,Mantia,Joey,USA,"1.08,30",2014-10-26,Salt Lake City (USA),USA - Single Distances Championships 2015 / World Cup Qualifier,m,2014,1000
5122,10,Dubreuil,Laurent,CAN,"1.08,40",2015-01-04,Calgary (CAN),Canada - Single Distances Championships 2015,m,2014,1000
5123,11,Derraugh,Tyler,CAN,"1.08,44",2014-10-26,Calgary (CAN),World Cup Trials,m,2014,1000
5124,12,St-Jean,Alexandre,CAN,"1.08,55",2015-01-04,Calgary (CAN),Canada - Single Distances Championships 2015,m,2014,1000
5125,13,Groothuis,Stefan,NED,"1.08,56",2014-11-02,Heerenveen (NED),Netherlands - Single Distances Championships 2015,m,2014,1000
5126,14,Junio,Gilmore,CAN,"1.08,59",2015-01-05,Calgary (CAN),Canada - Single Distances Championships 2015,m,2014,1000
5127,15,MacLennan,Richard,CAN,"1.08,60",2015-01-05,Calgary (CAN),Canada - Single Distances Championships 2015,m,2014,1000
5128,16,Kulizhnikov,Pavel,RUS,"1.08,61",2015-02-14,Heerenveen (NED),World Single Distances Championships 2015,m,2014,1000
5129,17,Yamanaka,Daichi,JPN,"1.08,76",2015-03-21,Calgary (CAN),2015 Olympic Oval Finale / Canada Cup 4,m,2014,1000
5130,18,Riopel,Philippe,CAN,"1.08,80",2015-03-19,Calgary (CAN),2015 Olympic Oval Finale / Canada Cup 4,m,2014,1000
5131,19,Otterspeer,Hein,NED,"1.08,88",2015-02-14,Heerenveen (NED),World Single Distances Championships 2015,m,2014,1000
5132,19,Romeijn,Aron,NED,"1.08,88",2015-03-21,Calgary (CAN),2015 Olympic Oval Finale / Canada Cup 4,m,2014,1000
5133,21,Ihle,Nico,GER,"1.09,06",2015-02-07,Heerenveen (NED),ISU World Cup,m,2014,1000
5134,22,Jorritsma,Gerben,NED,"1.09,07",2015-02-28,Calgary (CAN),Time Trials,m,2014,1000
5135,23,Dutton,William,CAN,"1.09,08",2014-10-04,Calgary (CAN),Time Trials,m,2014,1000
5136,24,Verweij,Koen,NED,"1.09,15",2014-11-02,Heerenveen (NED),Netherlands - Single Distances Championships 2015,m,2014,1000
5137,25,Déry,Alexandre,CAN,"1.09,29",2015-03-21,Calgary (CAN),2015 Olympic Oval Finale / Canada Cup 4,m,2014,1000
5138,26,Kuzin,Denis,KAZ,"1.09,32",2014-09-27,Calgary (CAN),Fall Classic,m,2014,1000
5139,26,Yesin,Alexey,RUS,"1.09,32",2014-12-13,Heerenveen (NED),ISU World Cup,m,2014,1000
5140,26,Boisvert-Lacroix,Alex,CAN,"1.09,32",2015-03-19,Calgary (CAN),2015 Olympic Oval Finale / Canada Cup 4,m,2014,1000
5141,29,Nakamura,Kento,JPN,"1.09,38",2015-03-21,Calgary (CAN),2015 Olympic Oval Finale / Canada Cup 4,m,2014,1000
5142,30,Schwarz,Samuel,GER,"1.09,39",2014-12-13,Heerenveen (NED),ISU World Cup,m,2014,1000
5143,31,Lorentzen,Håvard Holmefjord,NOR,"1.09,43",2015-03-01,Astana (KAZ),World Sprint Championships 2015,m,2014,1000
5144,32,Ishiro,Kazuki,JPN,"1.09,44",2015-03-21,Calgary (CAN),2015 Olympic Oval Finale / Canada Cup 4,m,2014,1000
5145,33,Macé,Benjamin,FRA,"1.09,48",2015-01-03,Milwaukee (USA),Time Trials,m,2014,1000
5146,34,Wijsman,Arvin,NED,"1.09,52",2015-03-21,Calgary (CAN),2015 Olympic Oval Finale / Canada Cup 4,m,2014,1000
5147,35,Garcia,Jonathan,USA,"1.09,59",2014-12-13,Heerenveen (NED),ISU World Cup,m,2014,1000
5148,36,Kim,Jin-Su,KOR,"1.09,64",2014-09-27,Calgary (CAN),Fall Classic,m,2014,1000
5149,36,Schipper,Pim,NED,"1.09,64",2015-03-14,Erfurt (GER),Internationaler Vereinswettkampf,m,2014,1000
5150,38,de Vries,Sjoerd,NED,"1.09,66",2015-01-03,Inzell (GER),Frillensee Cup,m,2014,1000
5151,38,Yuskov,Denis,RUS,"1.09,66",2015-01-24,Kolomna,Russia - Single Distances Championships 2015,m,2014,1000
5152,40,Tveit,Espen,NOR,"1.09,70",2015-03-21,Calgary (CAN),2015 Olympic Oval Finale / Canada Cup 4,m,2014,1000
5153,41,Griffin,Kimani,USA,"1.09,72",2015-03-07,Salt Lake City (USA),American Cup Final / Champions Challenge,m,2014,1000
5154,42,Mulder,Michel,NED,"1.09,74",2015-02-08,Heerenveen (NED),ISU World Cup,m,2014,1000
5155,43,Hvammen,Espen Aarnes,NOR,"1.09,75",2015-03-01,Astana (KAZ),World Sprint Championships 2015,m,2014,1000
5156,44,Bøkko,Håvard,NOR,"1.09,76",2014-11-22,Calgary (CAN),Can-Am International,m,2014,1000
5157,45,Kramer,Sven,NED,"1.09,77",2015-02-28,Calgary (CAN),Time Trials,m,2014,1000
5158,46,Carruthers,Dan,CAN,"1.09,79",2015-01-04,Calgary (CAN),Canada - Single Distances Championships 2015,m,2014,1000
5159,47,van Oosten,Martijn,NED,"1.09,81",2015-03-21,Calgary (CAN),2015 Olympic Oval Finale / Canada Cup 4,m,2014,1000
5160,48,Mo,Tae-Bum,KOR,"1.09,82",2014-09-27,Calgary (CAN),Fall Classic,m,2014,1000
5161,49,Nakao,Koto,JPN,"1.09,83",2015-03-21,Calgary (CAN),2015 Olympic Oval Finale / Canada Cup 4,m,2014,1000
5162,50,Niedźwiedzki,Konrad,POL,"1.09,97",2014-12-13,Heerenveen (NED),ISU World Cup,m,2014,1000
5163,51,Choi,Mikhail,CAN,"1.09,99",2015-03-21,Calgary (CAN),2015 Olympic Oval Finale / Canada Cup 4,m,2014,1000
5164,52,Rukke,Christoffer Fagerli,NOR,"1.10,01",2015-03-19,Calgary (CAN),2015 Olympic Oval Finale / Canada Cup 4,m,2014,1000
5165,53,Murashov,Ruslan,RUS,"1.10,03",2015-02-28,Astana (KAZ),World Sprint Championships 2015,m,2014,1000
5166,54,Hamelin,François,CAN,"1.10,04",2014-10-26,Calgary (CAN),World Cup Trials,m,2014,1000
5167,54,Deckert,Sam,CAN,"1.10,04",2015-03-21,Calgary (CAN),2015 Olympic Oval Finale / Canada Cup 4,m,2014,1000
5168,56,Yamada,Masaya,JPN,"1.10,10",2014-11-22,Calgary (CAN),ISU Junior World Cup,m,2014,1000
5169,57,Mu,Zhongsheng,CHN,"1.10,13",2014-09-27,Calgary (CAN),Fall Classic,m,2014,1000
5170,58,Bródka,Zbigniew,POL,"1.10,14",2015-02-14,Heerenveen (NED),World Single Distances Championships 2015,m,2014,1000
5171,59,Kim,Cheol-Min,KOR,"1.10,17",2014-09-20,Calgary (CAN),Time Trials,m,2014,1000
5172,60,Park,Edwin,USA,"1.10,21",2015-03-19,Calgary (CAN),2015 Olympic Oval Finale / Canada Cup 4,m,2014,1000
5173,61,Krol,Thomas,NED,"1.10,24",2015-03-14,Erfurt (GER),Internationaler Vereinswettkampf,m,2014,1000
5174,62,Swider-Peltz,Jeffrey,USA,"1.10,26",2014-10-26,Salt Lake City (USA),USA - Single Distances Championships 2015 / World Cup Qualifier,m,2014,1000
5175,63,Joo,Hyong-Jun,KOR,"1.10,27",2014-09-20,Calgary (CAN),Time Trials,m,2014,1000
5176,64,Michalski,Piotr,POL,"1.10,29",2015-02-14,Heerenveen (NED),World Single Distances Championships 2015,m,2014,1000
5177,65,Koskela,Pekka,FIN,"1.10,31",2015-02-14,Heerenveen (NED),World Single Distances Championships 2015,m,2014,1000
5178,66,Yang,Fan,CHN,"1.10,32",2014-12-13,Heerenveen (NED),ISU World Cup,m,2014,1000
5179,66,Poutala,Mika,FIN,"1.10,32",2015-03-01,Astana (KAZ),World Sprint Championships 2015,m,2014,1000
5180,66,N'tab,Dai Dai,NED,"1.10,32",2015-03-21,Calgary (CAN),2015 Olympic Oval Finale / Canada Cup 4,m,2014,1000
5181,69,Nenzi,Mirko Giacomo,ITA,"1.10,34",2015-02-28,Astana (KAZ),World Sprint Championships 2015,m,2014,1000
5182,69,Ruel-Garvey,Alex,CAN,"1.10,34",2015-03-21,Calgary (CAN),2015 Olympic Oval Finale / Canada Cup 4,m,2014,1000
5183,71,Nakamura,Shunsuke,JPN,"1.10,42",2014-12-29,Nagano (JPN),Japan - Sprint Championships 2015,m,2014,1000
5184,72,Kim,Jun-Ho,KOR,"1.10,44",2014-09-27,Calgary (CAN),Fall Classic,m,2014,1000
5185,73,Golubev,Kirill,RUS,"1.10,45",2014-12-06,Berlin (GER),ISU World Cup,m,2014,1000
5186,73,de Vries,Douwe,NED,"1.10,45",2015-02-28,Calgary (CAN),Time Trials,m,2014,1000
5187,75,Hartman,Steven,USA,"1.10,50",2015-03-21,Calgary (CAN),2015 Olympic Oval Finale / Canada Cup 4,m,2014,1000
5188,76,Kim,Tae-Yun,KOR,"1.10,54",2014-09-28,Calgary (CAN),Fall Classic,m,2014,1000
5189,76,Nakamura,Hayato,JPN,"1.10,54",2014-11-22,Calgary (CAN),ISU Junior World Cup,m,2014,1000
5190,78,Yang,Seung-Yong,KOR,"1.10,57",2014-10-04,Calgary (CAN),Time Trials,m,2014,1000
5191,79,Goplen,Nicholas,CAN,"1.10,59",2015-03-21,Calgary (CAN),2015 Olympic Oval Finale / Canada Cup 4,m,2014,1000
5192,80,Zhigin,Aleksandr,KAZ,"1.10,63",2014-09-27,Calgary (CAN),Fall Classic,m,2014,1000
5193,81,Moon,Joon,KOR,"1.10,65",2014-09-28,Calgary (CAN),Fall Classic,m,2014,1000
5194,82,Mezentsev,Fedor,KAZ,"1.10,68",2014-10-25,Astana (KAZ),Kazakhstan - Single Distances Championships 2015,m,2014,1000
5195,82,Dressel,Denis,GER,"1.10,68",2015-02-14,Heerenveen (NED),World Single Distances Championships 2015,m,2014,1000
5196,82,Pedersen,Sverre Lunde,NOR,"1.10,68",2015-03-15,Stavanger (NOR),Norway - Single Distances Championships 2015,m,2014,1000
5197,85,Dubreuil,Daniel,CAN,"1.10,69",2015-03-19,Calgary (CAN),2015 Olympic Oval Finale / Canada Cup 4,m,2014,1000
5198,86,van Alphen,Lucas,NED,"1.10,75",2014-11-02,Heerenveen (NED),Netherlands - Single Distances Championships 2015,m,2014,1000
5199,87,Roozen,Thijs,NED,"1.10,76",2014-11-02,Heerenveen (NED),Netherlands - Single Distances Championships 2015,m,2014,1000
5200,87,Janssens,Alec,CAN,"1.10,76",2015-03-14,Calgary (CAN),2015 Winter Classic - Olympic Oval Grand Prix,m,2014,1000
5201,89,Williamson,Shane,JPN,"1.10,77",2014-12-29,Nagano (JPN),Japan - Sprint Championships 2015,m,2014,1000
5202,90,Clouthier,Braden,CAN,"1.10,82",2015-03-14,Calgary (CAN),2015 Winter Classic - Olympic Oval Grand Prix,m,2014,1000
5203,91,Szymański,Jan,POL,"1.10,83",2014-10-24,Inzell (GER),International Race,m,2014,1000
5204,91,Kłosiński,Sebastian,POL,"1.10,83",2015-02-21,Inzell (GER),International Rennen,m,2014,1000
5205,93,Tian,Guojun,CHN,"1.10,84",2014-09-27,Calgary (CAN),Fall Classic,m,2014,1000
5206,93,Li,Bailin,CHN,"1.10,84",2015-01-10,Changchun (CHN),Asian Single Distances Championships 2015,m,2014,1000
5207,93,Krech,Roman,KAZ,"1.10,84",2015-01-23,Astana (KAZ),Kazakhstan - Sprint Championships 2015,m,2014,1000
5208,96,Hirschbichler,Hubert,GER,"1.10,85",2015-01-25,Berlin (GER),Germany - Sprint Championships 2015,m,2014,1000
5209,97,Nogal,Artur,POL,"1.10,86",2015-03-01,Astana (KAZ),World Sprint Championships 2015,m,2014,1000
5210,98,Donnelly,Benjamin,CAN,"1.10,87",2015-01-05,Calgary (CAN),Canada - Single Distances Championships 2015,m,2014,1000
5211,98,Silovs,Haralds,LAT,"1.10,87",2015-02-08,Heerenveen (NED),ISU World Cup,m,2014,1000
5212,100,Jang,Won-Hoon,KOR,"1.10,89",2015-02-26,Seoul (KOR),96th National Winter Sports Festival,m,2014,1000
5213,1,Yuskov,Denis,RUS,"1.42,92",2015-03-08,Calgary (CAN),World Allround Championships 2015,m,2014,1500
5214,2,Davis,Shani,USA,"1.43,70",2014-10-25,Salt Lake City (USA),USA - Single Distances Championships 2015 / World Cup Qualifier,m,2014,1500
5215,3,Pedersen,Sverre Lunde,NOR,"1.43,99",2015-03-08,Calgary (CAN),World Allround Championships 2015,m,2014,1500
5216,4,Kramer,Sven,NED,"1.44,18",2015-03-08,Calgary (CAN),World Allround Championships 2015,m,2014,1500
5217,4,Swings,Bart,BEL,"1.44,18",2015-03-08,Calgary (CAN),World Allround Championships 2015,m,2014,1500
5218,6,Morrison,Denny,CAN,"1.44,35",2015-03-08,Calgary (CAN),World Allround Championships 2015,m,2014,1500
5219,7,De Haître,Vincent,CAN,"1.44,75",2014-10-23,Calgary (CAN),World Cup Trials,m,2014,1500
5220,8,Bródka,Zbigniew,POL,"1.44,98",2015-03-08,Calgary (CAN),World Allround Championships 2015,m,2014,1500
