0,1
51958,April 2004 (LN2)
2811,July 1989 (M35)
11006,November 1993 (L30)
35589,June 1996 (MSA)
19207,July 1995 (LSA)
35591,June 2000 (LSA)
43788,December 2003 (MN2)
43798,August 2001 (MN4)
35619,April 2002 (LN4)
11049,September 1992 (L30)
2861,May 1994 (L30)
11069,April 1997 (MSA)
2878,June 1991 (L30)
11075,November 1999 (MSA)
92995,July 1999 (MSA)
11104,February 1994 (L30)
11105,May 1993 (M30)
60269,January 1999 (MSA)
2929,February 1987 (M35)
2936,January 1989 (M35)
2942,November 1988 (M35)
2943,April 1989 (M35)
11144,September 1992 (M30)
11150,August 1995 (MSA)
2961,July 1989 (M35)
35731,May 1998 (LSA)
35740,Female
11169,September 1995 (MSA)
43938,September 2001 (LN4)
68526,June 2003 (MN3)
35764,Male
35765,Male
43960,February 2004 (LN2)
3002,June 1992 (L30)
27578,October 2000 (MSA)
11196,August 1994 (M30)
35786,July 1993 (M30)
3038,September 1990 (M30)
27630,February 1999 (MSA)
19446,December 1995 (LSA)
3070,September 1988 (M35)
19465,January 1996 (MSA)
27663,January 1997 (LSA)
3090,September 1984 (M40)
3091,December 1978 (M45)
3098,June 1985 (L40)
3100,April 1988 (M35)
3103,September 1988 (L35)
52267,Male
93235,December 2007 (MB2)
93236,July 2003 (MN2)
52278,September 2001 (MN4)
27706,August 2002 (LN3)
19520,February 1997 (LSA)
44099,December 1986 (M35)
44100,January 1988 (M35)
3147,May 1987 (L35)
3148,April 1987 (L35)
27737,Female
19550,October 1996 (LSA)
76898,January 1993 (L30)
76901,April 2000 (LSA)
35944,April 1999 (LSA)
11375,June 1992 (M30)
76917,February 1998 (MSA)
76928,March 2004 (MN2)
76939,August 1999 (MSA)
3220,December 1987 (L35)
27798,February 2000 (LSA)
52374,July 2000 (MSA)
19616,March 1991 (M30)
36004,May 2001 (MSA)
11433,March 1988 (M35)
36011,February 2002 (LN4)
3243,March 1984 (M40)
19630,July 1994 (M30)
11442,October 1993 (M30)
60599,May 2004 (MN2)
11448,January 1994 (L30)
36035,April 1999 (LSA)
36036,October 1999 (LSA)
36037,Female
36048,September 1999 (MSA)
36050,May 1999 (MSA)
19692,March 1997 (MSA)
52466,September 2005 (LA2)
52481,October 2001 (MN4)
44294,September 2003 (MN2)
19721,July 1990 (M30)
36110,December 2001 (LN4)
44305,May 2001 (MSA)
36122,June 2002 (LN4)
52507,March 2004 (LN2)
36145,March 1995 (L30)
68915,July 1990 (L30)
68929,December 1998 (MSA)
52545,March 2003 (MN3)
68934,May 2004 (LN2)
27975,July 1997 (LSA)
77126,July 2003 (MN2)
27986,October 1996 (MSA)
77140,March 2004 (MN2)
11622,September 1994 (M30)
11623,May 1995 (M30)
36209,May 1998 (MSA)
36211,January 1999 (MSA)
28026,December 1997 (LSA)
3453,February 1991 (M30)
36227,September 1999 (MSA)
19853,October 1995 (LSA)
11667,March 1995 (M30)
60826,April 1997 (LSA)
36256,October 2001 (LN4)
60835,May 2005 (MN1)
19878,July 1997 (MSA)
60851,February 2007 (LA1)
69048,May 2001 (LSA)
3515,November 1989 (M35)
3520,January 1991 (M30)
19908,August 1995 (LSA)
44488,October 2001 (LN4)
69064,April 2003 (LN3)
85451,July 1998 (MSA)
60883,November 2002 (MN3)
69080,March 2003 (MN3)
69082,May 2001 (MSA)
60894,August 1996 (MSA)
60895,August 1997 (MSA)
69086,August 2001 (MN4)
69093,September 2001 (LN4)
60902,August 1993 (L30)
69094,November 2002 (LN3)
60904,April 1993 (L30)
60901,December 1999 (LSA)
28136,June 2000 (MSA)
3565,November 1988 (M35)
3577,December 1989 (M35)
11772,February 1996 (MSA)
11779,June 1990 (M35)
3588,April 1989 (L35)
3599,October 1988 (L35)
3605,February 1991 (L30)
3606,June 1988 (L35)
69151,March 2005 (MN1)
69160,February 2003 (MN3)
69163,February 1995 (L30)
69164,April 2003 (LN3)
3640,August 1989 (L35)
11853,November 1998 (LSA)
20049,June 1995 (M30)
77398,April 2006 (MA2)
69211,March 1996 (MSA)
69212,June 2003 (MN3)
69215,March 1987 (M35)
69222,March 1999 (LSA)
36455,August 1994 (M30)
69224,September 2007 (LB2)
3697,August 1990 (M30)
36490,March 1994 (M30)
44683,March 2004 (LN2)
3737,January 1992 (L30)
69275,January 1992 (L30)
44712,June 2000 (LSA)
85697,September 2004 (MN1)
28354,July 1995 (MSA)
85710,June 2006 (LA2)
20176,November 1996 (LSA)
28373,April 1996 (LSA)
36566,July 2001 (LN4)
3798,January 1990 (M35)
3829,October 1989 (L35)
61175,May 1994 (L30)
28417,July 1999 (LSA)
12041,January 1993 (M30)
20235,February 2004 (LN2)
61199,February 1992 (M30)
36633,April 2001 (LSA)
3886,October 1988 (M35)
77616,May 1999 (MSA)
12083,December 1994 (L30)
12086,September 1994 (M30)
12091,July 1994 (M30)
20285,December 1996 (LSA)
36672,January 2002 (MN4)
94016,January 2005 (MN1)
20298,May 1995 (L30)
20301,January 1996 (LSA)
20309,August 1995 (MSA)
12138,May 1995 (L30)
36715,December 1998 (MSA)
61299,March 2007 (MA1)
20345,January 1996 (LSA)
20346,August 1992 (L30)
3971,August 1990 (M30)
20369,April 1990 (L35)
44949,July 2001 (MN4)
4004,August 1992 (M30)
53175,September 1997 (MSA)
20409,August 1994 (M30)
20424,October 1994 (M30)
4043,July 1993 (L30)
61394,April 2000 (MSA)
20443,July 1995 (LSA)
20454,December 1996 (MSA)
4077,November 1990 (L30)
36859,August 1997 (MSA)
20478,December 1996 (MSA)
36877,Female
36880,Female
20502,February 1997 (MSA)
69670,June 2004 (MN2)
4138,September 1990 (L30)
36907,September 2000 (MSA)
36908,July 2000 (MSA)
45111,August 2002 (LN3)
4152,December 1989 (L35)
12376,September 1994 (M30)
45153,January 2001 (MSA)
36968,May 1991 (M30)
94314,June 2006 (MA2)
45169,July 1998 (MSA)
4211,January 1993 (L30)
4212,September 1990 (L30)
28787,January 2000 (LSA)
4214,December 1984 (M40)
69750,January 2005 (MN1)
4218,July 1984 (M40)
69756,Male
45181,July 1998 (MSA)
12420,October 1994 (M30)
