ID,Index,Rank,Family Name,Given Name,Country,Time,Date,Location,Event,Gender,Year,Distance
59364,9711,91,Liu,Ze,CHN,"1.09,76",2024-01-26,Salt Lake City (USA),ISU World Cup Speed Skating #5,m,2023,1000
22837,9712,92,Rukke,Henrik Fagerli,NOR,"1.09,77",2024-01-28,Salt Lake City (USA),ISU World Cup Speed Skating #5,m,2023,1000
31432,9713,93,Smirnov,Danil,RUS,"1.09,78",2023-10-07,Kolomna,Kolomna Kremlin Cup,m,2023,1000
14959,9714,94,Lehman,Emery,USA,"1.09,81",2024-01-06,Salt Lake City (USA),Winter World Cup Qualifier,m,2023,1000
50404,9715,95,Vazhenin,Nikita,KAZ,"1.09,83",2024-01-28,Salt Lake City (USA),ISU World Cup Speed Skating #5,m,2023,1000
53175,9716,96,Johnson,Anders,CAN,"1.09,90",2024-03-08,Calgary (CAN),Olympic Oval Grand Prix - Canada Cup Final,m,2023,1000
37856,9717,97,Kuratsubo,Katsuhiro,JPN,"1.09,94",2023-10-22,Nagano (JPN),Japan - Single Distances Championships 2024,m,2023,1000
54288,9718,98,Ichiba,Shota,JPN,"1.09,95",2024-03-09,Salt Lake City (USA),AmCup Final,m,2023,1000
22982,9719,99,Oh,Sang-Hun,KOR,"1.10,03",2023-09-22,Calgary (CAN),2023 Fall Classic,m,2023,1000
41615,9720,99,Gerrits,Jarle,NED,"1.10,03",2023-10-29,Heerenveen (NED),World Cup Kwalificatietoernooi,m,2023,1000
48139,9721,1,Stolz,Jordan,USA,"1.40,87",2024-01-27,Salt Lake City (USA),ISU World Cup Speed Skating #5,m,2023,1500
46065,9722,2,Ning,Zhongyan,CHN,"1.41,78",2024-01-27,Salt Lake City (USA),ISU World Cup Speed Skating #5,m,2023,1500
43611,9723,3,Howe,Connor,CAN,"1.42,34",2023-09-23,Calgary (CAN),2023 Fall Classic,m,2023,1500
5487,9724,4,Nuis,Kjeld,NED,"1.42,66",2024-02-18,Calgary (CAN),World Single Distances Championships 2024,m,2023,1500
43798,9725,4,Kongshaug,Peder,NOR,"1.42,66",2024-02-18,Calgary (CAN),World Single Distances Championships 2024,m,2023,1500
