ID,Index,Rank,Family Name,Given Name,Country,Time,Date,Location,Event,Gender,Year,Distance
,,Rank,Family Name,Given Name,Nationality,Time,Date,Location,Event,Gender,Year,Distance
14099.0,85.0,86,Toi,Saori,JPN,"39,66",2014-12-29,Nagano (JPN),Japan - Sprint Championships 2015,f,2014,500
1788.0,86.0,87,van der Weijden,Annouk,NED,"39,68",2014-12-27,Heerenveen (NED),Netherlands - Allround Championships 2015,f,2014,500
15942.0,87.0,87,Kim,Min-Ji,KOR,"39,68",2015-02-25,Seoul (KOR),96th National Winter Sports Festival,f,2014,500
4043.0,88.0,89,Hanly,Kate,CAN,"39,71",2015-02-21,Calgary (CAN),Time Trials,f,2014,500
20346.0,89.0,90,Poelzer,Keira,CAN,"39,72",2015-03-20,Calgary (CAN),2015 Olympic Oval Finale / Canada Cup 4,f,2014,500
607.0,90.0,91,Voorhuis,Jorien,NED,"39,73",2014-12-27,Heerenveen (NED),Netherlands - Allround Championships 2015,f,2014,500
5808.0,91.0,91,Sadouskaya,Kseniya,BLR,"39,73",2015-01-25,Minsk,Igor Zhelezovski Prize,f,2014,500
8981.0,92.0,93,Tsujimoto,Arisa,JPN,"39,74",2014-12-30,Nagano (JPN),Japan - Sprint Championships 2015,f,2014,500
24191.0,93.0,94,Asano,Miku,JPN,"39,75",2014-11-23,Calgary (CAN),ISU Junior World Cup,f,2014,500
5607.0,94.0,95,Nam,Ye-Won,KOR,"39,76",2015-01-05,Seoul (KOR),45th Presidents Cup,f,2014,500
22341.0,95.0,96,Mikhailava,Tatsiana,BLR,"39,77",2015-02-28,Astana (KAZ),World Sprint Championships 2015,f,2014,500
17787.0,96.0,96,Voronina,Natalia,RUS,"39,77",2015-03-07,Calgary (CAN),World Allround Championships 2015,f,2014,500
75801.0,97.0,98,Murashova,Evgeniya,RUS,"39,78",2014-11-08,Kolomna,Moscow Region Open Championship,f,2014,500
9908.0,98.0,98,Ryzhova,Margarita,RUS,"39,78",2015-02-21,Moscow,Russia - Sprint Championships 2015,f,2014,500
5606.0,99.0,100,Kuroiwa,Mio,JPN,"39,79",2014-11-14,Obihiro (JPN),ISU World Cup,f,2014,500
24558.0,100.0,100,Fujimori,Miki,JPN,"39,79",2014-11-23,Calgary (CAN),ISU Junior World Cup,f,2014,500
4585.0,101.0,100,Zhang,Xin,CHN,"39,79",2015-02-08,Heerenveen (NED),ISU World Cup,f,2014,500
29245.0,102.0,1,Bowe,Brittany,USA,"1.12,91",2014-10-26,Salt Lake City (USA),USA - Single Distances Championships 2015 / World Cup Qualifier,f,2014,1000
10287.0,103.0,2,Bergsma,Heather,USA,"1.13,76",2014-10-26,Salt Lake City (USA),USA - Single Distances Championships 2015 / World Cup Qualifier,f,2014,1000
4313.0,104.0,3,Njåtun,Ida,NOR,"1.15,07",2015-02-28,Calgary (CAN),Time Trials,f,2014,1000
1802.0,105.0,4,Leenstra,Marrit,NED,"1.15,17",2014-11-02,Heerenveen (NED),Netherlands - Single Distances Championships 2015,f,2014,1000
6333.0,106.0,5,Erbanová,Karolina,CZE,"1.15,26",2015-02-13,Heerenveen (NED),World Single Distances Championships 2015,f,2014,1000
687.0,107.0,6,Wüst,Ireen,NED,"1.15,28",2014-11-02,Heerenveen (NED),Netherlands - Single Distances Championships 2015,f,2014,1000
45876.0,108.0,7,Li,Qishi,CHN,"1.15,50",2014-09-27,Calgary (CAN),Fall Classic,f,2014,1000
4138.0,109.0,8,Irvine,Kaylin,CAN,"1.15,60",2015-03-19,Calgary (CAN),2015 Olympic Oval Finale / Canada Cup 4,f,2014,1000
5555.0,110.0,9,Christ,Kali,CAN,"1.15,64",2015-03-21,Calgary (CAN),2015 Olympic Oval Finale / Canada Cup 4,f,2014,1000
18618.0,111.0,10,Zhang,Hong,CHN,"1.15,77",2014-09-27,Calgary (CAN),Fall Classic,f,2014,1000
398.0,112.0,11,Dannhauer,Judith,GER,"1.15,86",2015-02-13,Heerenveen (NED),World Single Distances Championships 2015,f,2014,1000
6942.0,113.0,12,de Jong,Letitia,NED,"1.15,93",2015-03-21,Calgary (CAN),2015 Olympic Oval Finale / Canada Cup 4,f,2014,1000
5675.0,114.0,13,Aydova,Yekaterina,KAZ,"1.16,01",2015-03-01,Astana (KAZ),World Sprint Championships 2015,f,2014,1000
5963.0,115.0,14,Herzog,Vanessa,AUT,"1.16,08",2015-02-13,Heerenveen (NED),World Single Distances Championships 2015,f,2014,1000
1598.0,116.0,15,Kodaira,Nao,JPN,"1.16,11",2014-12-29,Nagano (JPN),Japan - Sprint Championships 2015,f,2014,1000
2126.0,117.0,16,van Riessen,Laurine,NED,"1.16,15",2015-02-13,Heerenveen (NED),World Single Distances Championships 2015,f,2014,1000
5796.0,118.0,17,van Beek,Lotte,NED,"1.16,19",2015-03-19,Calgary (CAN),2015 Olympic Oval Finale / Canada Cup 4,f,2014,1000
609.0,119.0,18,Złotkowska,Luiza,POL,"1.16,22",2015-02-28,Calgary (CAN),Time Trials,f,2014,1000
20369.0,120.0,19,Blondin,Ivanie,CAN,"1.16,24",2014-10-26,Calgary (CAN),World Cup Trials,f,2014,1000
5828.0,121.0,20,Fatkulina,Olga,RUS,"1.16,28",2014-12-13,Heerenveen (NED),ISU World Cup,f,2014,1000
